"Wall_Clock_seconds","h.m.s","max_rss","max_vms","max_uss","max_pss","io_in","io_out","mean_load","cpu_time","Threads","Run","Sample","Logic"
287.9806,"0:04:47",3246.55,9011.62,3238.85,3239.5,0.03,3443.82,164.81,1173.96,"16","dragonflye_hybrid","ATCC_10708_SUP_Simplex","Last"
325.2572,"0:05:25",3241.04,8437.86,3228.76,3229.43,0.02,3179.55,226.09,892.52,"8","dragonflye_hybrid","ATCC_10708_SUP_Simplex","Last"
250.1608,"0:04:10",3613.97,9075.62,3598.9,3600.31,0,2156.72,189.95,983.93,"16","dragonflye_long","ATCC_10708_SUP_Simplex","Last"
316.8193,"0:05:16",3284.87,8501.87,3277.41,3278.07,0,2156.73,233.81,966.83,"8","dragonflye_long","ATCC_10708_SUP_Simplex","Last"
798.0705,"0:13:18",6956.61,14689.05,6784.55,6792.11,0.42,23169.64,109.75,2261.03,"16","hybracter_hybrid","ATCC_10708_SUP_Simplex","Last"
914.8412,"0:15:14",6290.66,12530.06,7095.25,7102.82,2.68,23003.03,118.96,2294.04,"8","hybracter_hybrid","ATCC_10708_SUP_Simplex","Last"
603.4414,"0:10:03",6367.45,14104.58,6281.64,6289.29,0.15,5652.32,146.89,1664.87,"16","hybracter_long","ATCC_10708_SUP_Simplex","Last"
702.3317,"0:11:42",6108.61,12326.3,6079.91,6087.55,0.3,5610.12,100.6,1379.82,"8","hybracter_long","ATCC_10708_SUP_Simplex","Last"
2425.9615,"0:40:25",7772.79,14069.8,7757.31,7762.43,0.63,167503.02,880.41,24757.62,"16","unicycler","ATCC_10708_SUP_Simplex","Last"
3694.0246,"1:01:34",4402.2,7878.64,4385.57,4390.67,0.44,170478.2,544.57,21780.87,"8","unicycler","ATCC_10708_SUP_Simplex","Last"
235.2884,"0:03:55",3098.08,9062.06,3081.97,3083.38,0.01,3012.8,152.26,1051.13,"16","dragonflye_hybrid","ATCC_17802_SUP_Simplex","Last"
315.5331,"0:05:15",3352.52,8488.31,3344.54,3345.21,0,2166.58,286.38,1156.39,"8","dragonflye_hybrid","ATCC_17802_SUP_Simplex","Last"
205.13,"0:03:25",3154.76,8998.07,3138.66,3140.1,0,2156.4,172.94,1067.2,"16","dragonflye_long","ATCC_17802_SUP_Simplex","Last"
