"Sample","Run","variable","value"
"100x","Hybracter (hybrid)","SNVs",0
"100x","Hybracter (hybrid)","Small InDels",0
"100x","Hybracter (hybrid)","Large InDels",0
"100x","Hybracter (long)","SNVs",55
"100x","Hybracter (long)","Small InDels",10
"100x","Hybracter (long)","Large InDels",0
"100x","Unicycler","SNVs",63
"100x","Unicycler","Small InDels",14
"100x","Unicycler","Large InDels",1
"100x","Dragonflye (hybrid)","SNVs",0
"100x","Dragonflye (hybrid)","Small InDels",0
"100x","Dragonflye (hybrid)","Large InDels",2
"100x","Dragonflye (long)","SNVs",62
"100x","Dragonflye (long)","Small InDels",82
"100x","Dragonflye (long)","Large InDels",2
"20x","Hybracter (hybrid)","SNVs",0
"20x","Hybracter (hybrid)","Small InDels",0
"20x","Hybracter (hybrid)","Large InDels",0
"20x","Hybracter (long)","SNVs",97
"20x","Hybracter (long)","Small InDels",43
"20x","Hybracter (long)","Large InDels",0
"20x","Unicycler","SNVs",62
"20x","Unicycler","Small InDels",14
"20x","Unicycler","Large InDels",1
"20x","Dragonflye (hybrid)","SNVs",0
"20x","Dragonflye (hybrid)","Small InDels",1
"20x","Dragonflye (hybrid)","Large InDels",5
"20x","Dragonflye (long)","SNVs",101
"20x","Dragonflye (long)","Small InDels",78
"20x","Dragonflye (long)","Large InDels",5
"25x","Hybracter (hybrid)","SNVs",0
"25x","Hybracter (hybrid)","Small InDels",0
"25x","Hybracter (hybrid)","Large InDels",0
"25x","Hybracter (long)","SNVs",69
"25x","Hybracter (long)","Small InDels",33
"25x","Hybracter (long)","Large InDels",0
"25x","Unicycler","SNVs",62
"25x","Unicycler","Small InDels",14
"25x","Unicycler","Large InDels",1
"25x","Dragonflye (hybrid)","SNVs",0
"25x","Dragonflye (hybrid)","Small InDels",2
"25x","Dragonflye (hybrid)","Large InDels",1
"25x","Dragonflye (long)","SNVs",82
"25x","Dragonflye (long)","Small InDels",50
"25x","Dragonflye (long)","Large InDels",1
"30x","Hybracter (hybrid)","SNVs",0
"30x","Hybracter (hybrid)","Small InDels",0
"30x","Hybracter (hybrid)","Large InDels",0
"30x","Hybracter (long)","SNVs",74
"30x","Hybracter (long)","Small InDels",33
"30x","Hybracter (long)","Large InDels",0
"30x","Unicycler","SNVs",62
"30x","Unicycler","Small InDels",14
"30x","Unicycler","Large InDels",1
"30x","Dragonflye (hybrid)","SNVs",0
"30x","Dragonflye (hybrid)","Small InDels",0
"30x","Dragonflye (hybrid)","Large InDels",2
"30x","Dragonflye (long)","SNVs",88
"30x","Dragonflye (long)","Small InDels",53
"30x","Dragonflye (long)","Large InDels",2
"35x","Hybracter (hybrid)","SNVs",0
"35x","Hybracter (hybrid)","Small InDels",0
"35x","Hybracter (hybrid)","Large InDels",0
"35x","Hybracter (long)","SNVs",65
"35x","Hybracter (long)","Small InDels",23
"35x","Hybracter (long)","Large InDels",0
"35x","Unicycler","SNVs",62
"35x","Unicycler","Small InDels",14
"35x","Unicycler","Large InDels",1
"35x","Dragonflye (hybrid)","SNVs",1
"35x","Dragonflye (hybrid)","Small InDels",0
"35x","Dragonflye (hybrid)","Large InDels",2
"35x","Dragonflye (long)","SNVs",71
"35x","Dragonflye (long)","Small InDels",60
"35x","Dragonflye (long)","Large InDels",2
"40x","Hybracter (hybrid)","SNVs",0
"40x","Hybracter (hybrid)","Small InDels",0
"40x","Hybracter (hybrid)","Large InDels",0
"40x","Hybracter (long)","SNVs",62
"40x","Hybracter (long)","Small InDels",20
"40x","Hybracter (long)","Large InDels",0
"40x","Unicycler","SNVs",62
"40x","Unicycler","Small InDels",14
"40x","Unicycler","Large InDels",1
"40x","Dragonflye (hybrid)","SNVs",0
"40x","Dragonflye (hybrid)","Small InDels",0
"40x","Dragonflye (hybrid)","Large InDels",1
"40x","Dragonflye (long)","SNVs",67
"40x","Dragonflye (long)","Small InDels",45
"40x","Dragonflye (long)","Large InDels",1
"45x","Hybracter (hybrid)","SNVs",0
"45x","Hybracter (hybrid)","Small InDels",0
"45x","Hybracter (hybrid)","Large InDels",0
"45x","Hybracter (long)","SNVs",61
"45x","Hybracter (long)","Small InDels",17
"45x","Hybracter (long)","Large InDels",0
"45x","Unicycler","SNVs",62
"45x","Unicycler","Small InDels",14
"45x","Unicycler","Large InDels",1
"45x","Dragonflye (hybrid)","SNVs",0
"45x","Dragonflye (hybrid)","Small InDels",0
"45x","Dragonflye (hybrid)","Large InDels",3
"45x","Dragonflye (long)","SNVs",69
"45x","Dragonflye (long)","Small InDels",70
"45x","Dragonflye (long)","Large InDels",3
"50x","Hybracter (hybrid)","SNVs",0
"50x","Hybracter (hybrid)","Small InDels",0
"50x","Hybracter (hybrid)","Large InDels",0
"50x","Hybracter (long)","SNVs",61
"50x","Hybracter (long)","Small InDels",17
"50x","Hybracter (long)","Large InDels",0
"50x","Unicycler","SNVs",62
"50x","Unicycler","Small InDels",14
"50x","Unicycler","Large InDels",1
"50x","Dragonflye (hybrid)","SNVs",0
