"","Sample","reads","bases","n50","longest","shortest","mean_length","median_length","mean_quality","median_quality"
"1","ATCC_10708",148136,480006807,9370,144357,76,3240,1197,15.1,15.7
"2","ATCC_17802",316987,520081764,3234,93575,70,1640,734,14.7,15
"3","ATCC_25922",183356,520000292,8766,148719,86,2836,976,14.9,15.3
"4","ATCC_33560",73159,180012785,5560,127223,124,2460,1061,14.3,14.8
"5","ATCC_BAA_679",79512,300000656,8045,105332,103,3773,1799,16.5,17.2
"6","H37R2",206988,440001739,2978,41494,104,2125,1542,12.3,12.8
"7","JKD6159_R10",95286,290000258,4234,124113,1,3043,2056,17.2,18.3
"8","JKD6159_R9",35442,290000109,22206,212482,1,8182,2681,11.8,12.3
"9","Lerminiaux_isolateA",70218,550003005,13663,134993,1000,7832,4406,17.2,17.6
"10","Lerminiaux_isolateB",97288,550002938,8496,110861,1000,5653,3660,17.1,17.5
"11","Lerminiaux_isolateC",17194,182884697,18834,172959,1000,10636,6265,17.1,17.5
"12","Lerminiaux_isolateD",68061,550001816,13465,112870,1000,8081,4912,17.2,17.6
"13","Lerminiaux_isolateE",80319,550001822,10806,130257,1000,6847,4200,16.8,17.2
"14","Lerminiaux_isolateF",27198,292801460,19604,154823,1000,10765,6316,17,17.4
"15","Lerminiaux_isolateG",64400,550004981,14244,109948,1000,8540,5295,17.1,17.5
"16","Lerminiaux_isolateH",90615,537810214,9510,117239,1000,5935,3554,17.1,17.5
"17","Lerminiaux_isolateI",77536,550041014,12062,138637,1000,7094,4208,17.1,17.5
"18","Lerminiaux_isolateJ",28194,291047263,17947,106140,1000,10323,6179,16.9,17.4
"19","Lerminiaux_isolateK",65211,550057760,14569,127490,1000,8435,4993,16.7,17.2
"20","Lerminiaux_isolateL",78827,550001524,11820,90373,1000,6977,4170,16.9,17.3
"21","ATCC_BAA_679_SUP_Duplex",35502,148520956,7966,91062,372,4183,2225,26.3,26.8
"22","ATCC_33560_SUP_Duplex",19189,99083707,9259,79585,371,5163,3033,26,26.6
"23","ATCC_25922_SUP_Duplex",114703,236908842,3250,126029,349,2065,1022,25.5,25.9
"24","ATCC_17802_SUP_Duplex",67767,150839181,4079,80533,354,2225,1082,25.2,25.5
"25","ATCC_10708_SUP_Duplex",188914,360980311,3310,94015,232,1910,955,25.1,25.5
"26","ATCC_BAA_679_FAST_Simplex",104239,300001675,6650,148795,1,2878,1312,10.7,11.1
"27","ATCC_33560_FAST_Simplex",52031,180012176,8136,727567,1,3459,1501,11,11.4
"28","ATCC_25922_FAST_Simplex",409395,520000266,2488,461317,1,1270,601,10.4,10.6
"29","ATCC_17802_FAST_Simplex",431696,520001117,2824,264520,1,1204,512,10.6,10.9
"30","ATCC_10708_FAST_Simplex",485878,480000447,2084,248060,1,987,457,10.4,10.6
