"Sample","Run","SNV_plus_indel_plus_large_indels","TotalSNPs","TotalIndels","InsertionsRef","InsertionsQry","InsertionSumRef","InsertionSumQry","TotalBasesRef","TotalBasesQry","UnalignedBasesRef","UnalignedBasesQry","Breakpoints","Relocations","Translocations","Inversions","indels_plus_snps"
"ATCC_10708_SUP_Simplex","hybracter_hybrid",1,0,1,0,0,0,0,4752118,4752117,0,0,0,0,0,0,1
"ATCC_10708_SUP_Simplex","hybracter_long",12,5,7,0,0,0,0,4752118,4752111,0,0,0,0,0,0,12
"ATCC_10708_SUP_Simplex","unicycler",24,22,2,0,0,0,0,4752118,4752118,0,0,0,0,0,0,24
"ATCC_10708_SUP_Simplex","dragonflye_hybrid",5,0,3,2,0,3303,0,4752118,4752088,3,0,4,1,0,0,3
"ATCC_10708_SUP_Simplex","dragonflye_long",105,9,94,2,0,3303,0,4752118,4752027,3,0,4,1,0,0,103
"ATCC_17802_SUP_Simplex","hybracter_hybrid",4,3,0,1,0,115,0,5147091,5146976,0,0,2,0,0,0,3
"ATCC_17802_SUP_Simplex","hybracter_long",109,101,7,1,0,115,0,5147091,5146977,0,0,2,0,0,0,108
"ATCC_17802_SUP_Simplex","unicycler",96,72,21,1,2,115,19,5147091,5146966,0,0,8,1,0,0,93
"ATCC_17802_SUP_Simplex","dragonflye_hybrid",115,6,105,4,0,1267,0,5147091,5146853,10,0,8,2,0,0,111
"ATCC_17802_SUP_Simplex","dragonflye_long",373,136,233,4,0,1267,0,5147091,5146743,10,0,8,2,0,0,369
"ATCC_25922_SUP_Simplex","hybracter_hybrid",3,2,0,1,0,9,0,5132220,5132229,0,0,2,0,0,0,2
"ATCC_25922_SUP_Simplex","hybracter_long",184,118,65,1,0,9,0,5132220,5132271,0,0,4,1,0,0,183
"ATCC_25922_SUP_Simplex","unicycler",32,28,3,1,0,9,0,5132220,5132230,0,0,2,0,0,0,31
"ATCC_25922_SUP_Simplex","dragonflye_hybrid",6,2,2,2,0,5361,0,5132220,5132221,0,0,6,1,0,0,4
"ATCC_25922_SUP_Simplex","dragonflye_long",307,102,203,2,0,3259,0,5132220,5132190,0,0,6,1,0,0,305
"ATCC_33560_SUP_Simplex","hybracter_hybrid",2,0,2,0,0,0,0,1768448,1768448,0,0,0,0,0,0,2
"ATCC_33560_SUP_Simplex","hybracter_long",565,146,419,0,0,0,0,1768448,1768139,0,0,0,0,0,0,565
"ATCC_33560_SUP_Simplex","unicycler",8,3,3,1,1,170,596,1768448,1768437,170,0,4,1,0,0,6
"ATCC_33560_SUP_Simplex","dragonflye_hybrid",4,0,2,2,0,2203,0,1768448,1768429,8,0,4,1,0,0,2
"ATCC_33560_SUP_Simplex","dragonflye_long",844,153,689,2,0,2203,0,1768448,1767880,8,0,4,1,0,0,842
"ATCC_BAA_679_SUP_Simplex","hybracter_hybrid",0,0,0,0,0,0,0,2944530,2944530,0,0,0,0,0,0,0
"ATCC_BAA_679_SUP_Simplex","hybracter_long",4,0,4,0,0,0,0,2944530,2944526,0,0,0,0,0,0,4
"ATCC_BAA_679_SUP_Simplex","unicycler",11,7,4,0,0,0,0,2944530,2944530,0,0,0,0,0,0,11
"ATCC_BAA_679_SUP_Simplex","dragonflye_hybrid",1,0,0,1,0,5547,0,2944530,2944520,0,0,4,1,0,0,0
"ATCC_BAA_679_SUP_Simplex","dragonflye_long",52,2,49,1,0,5547,0,2944530,2944479,0,0,4,1,0,0,51
"H37R2","hybracter_hybrid",1,0,1,0,0,0,0,4417942,4417941,0,0,0,0,0,0,1
"H37R2","hybracter_long",136,3,133,0,0,0,0,4417942,4417848,0,0,2,1,0,0,136
"H37R2","unicycler",75,11,52,12,0,23993,0,4417942,4395850,21121,0,26,3,0,0,63
"H37R2","dragonflye_hybrid",17,0,17,0,0,0,0,4417942,4417925,0,0,2,1,0,0,17
"H37R2","dragonflye_long",1911,19,1892,0,0,0,0,4417942,4416154,0,0,2,1,0,0,1911
"JKD6159_R10","hybracter_hybrid",0,0,0,0,0,0,0,2818670,2818670,0,0,0,0,0,0,0
"JKD6159_R10","hybracter_long",43,42,1,0,0,0,0,2818670,2818669,0,0,0,0,0,0,43
"JKD6159_R10","unicycler",96,53,29,11,3,8254,2076,2818670,2815322,899,9,34,4,0,0,82
"JKD6159_R10","dragonflye_hybrid",60,0,58,2,0,2238,0,2818670,2818424,173,0,6,1,0,0,58
"JKD6159_R10","dragonflye_long",164,24,138,2,0,2238,0,2818670,2818354,173,0,6,1,0,0,162
"JKD6159_R9","hybracter_hybrid",2,0,2,0,0,0,0,2818670,2818672,0,0,0,0,0,0,2
"JKD6159_R9","hybracter_long",143,44,99,0,0,0,0,2818670,2818625,0,0,0,0,0,0,143
"JKD6159_R9","unicycler",109,57,36,12,4,8268,2785,2818670,2816037,899,9,38,4,0,0,93
"JKD6159_R9","dragonflye_hybrid",47,0,44,2,1,33,154,2818670,2818843,18,152,6,1,0,0,44
"JKD6159_R9","dragonflye_long",524,47,475,1,1,18,154,2818670,2818635,18,152,4,1,0,0,522
"Lerminiaux_isolateA","hybracter_hybrid",0,0,0,0,0,0,0,4767905,4767905,0,0,0,0,0,0,0
"Lerminiaux_isolateA","hybracter_long",21,15,6,0,0,0,0,4767905,4767905,0,0,2,1,0,0,21
"Lerminiaux_isolateA","unicycler",109,94,13,2,0,402,0,4767905,4767512,0,0,4,0,0,0,107
"Lerminiaux_isolateA","dragonflye_hybrid",3,0,2,1,0,3,0,4767905,4767900,3,0,2,1,0,0,2
"Lerminiaux_isolateA","dragonflye_long",110,18,91,1,0,3,0,4767905,4767837,3,0,2,1,0,0,109
