"Wall_Clock_seconds","h.m.s","max_rss","max_vms","max_uss","max_pss","io_in","io_out","mean_load","cpu_time","Threads","Run","Sample"
428.0148,"0:07:08",3449.06,9067.87,3433.33,3434.9,0,2509.01,384.17,2437.52,"16","dragonflye_hybrid","ATCC_10708"
577.8422,"0:09:37",3677.91,8494.09,3586.36,3602.68,0,2972.43,345.24,2310.83,"8","dragonflye_hybrid","ATCC_10708"
402.4483,"0:06:42",3814.93,9067.83,3723.82,3740.42,457.32,2154.71,425.34,2248.85,"16","dragonflye_long","ATCC_10708"
528.0399,"0:08:48",3796.23,8494.07,3705.19,3721.63,0,2154.73,373.92,2371.14,"8","dragonflye_long","ATCC_10708"
1208.9749,"0:20:08",3580.25,28740.38,3550.86,3557.69,381.57,23083.52,179.41,3285.8,"16","hybracter_hybrid","ATCC_10708"
1619.4427,"0:26:59",3964.5,27039.26,3836.07,3865.31,389.97,23172.5,187.65,4496.99,"8","hybracter_hybrid","ATCC_10708"
1068.036,"0:17:48",3582.44,28351.69,3552.99,3559.85,2.32,5655.84,235.85,3375.85,"16","hybracter_long","ATCC_10708"
1144.9643,"0:19:04",3998.15,26871.69,3873.29,3900.79,0.09,5657.54,242.59,3656.99,"8","hybracter_long","ATCC_10708"
4381.6842,"1:13:01",7937.02,14065.94,7920.71,7925.74,91.06,167517.04,1131.63,52715.04,"16","unicycler","ATCC_10708"
7461.3314,"2:04:21",4379.34,7943.94,4378.23,4382.03,621.92,170478.3,634.25,49287.81,"8","unicycler","ATCC_10708"
320.4959,"0:05:20",3757.86,9054.29,3662.2,3680.39,0,3463.1,388.03,1425.92,"16","dragonflye_hybrid","ATCC_17802"
535.6867,"0:08:55",3184.13,8480.51,3083.71,3103.79,0,3487.87,348.78,1990.22,"8","dragonflye_hybrid","ATCC_17802"
333.3694,"0:05:33",3227.58,9054.3,3146.82,3163.6,487.53,2157.58,389.2,1890.11,"16","dragonflye_long","ATCC_17802"
429.9575,"0:07:09",3952.37,8480.54,3854.75,3873.23,12.18,2152.47,298.6,1677.29,"8","dragonflye_long","ATCC_17802"
1134.6847,"0:18:54",3796.73,28775.88,3682.4,3707.25,673.47,22347.71,156.26,3037.88,"16","hybracter_hybrid","ATCC_17802"
1633.6238,"0:27:13",4568.99,27125.8,4440.3,4467.81,0.13,22266.47,192.22,5233.08,"8","hybracter_hybrid","ATCC_17802"
675.9989,"0:11:15",3991.63,15101.43,3877.97,3902.43,9.61,13682.12,215.58,2418.52,"16","hybracter_long","ATCC_17802"
943.5728,"0:15:43",3853.64,24891.57,3710.16,3746.78,0.18,13487.74,218.12,3164.46,"8","hybracter_long","ATCC_17802"
4021.5113,"1:07:01",9383.22,14062.93,9367.42,9372.44,387.79,155232.52,1100.67,47460.8,"16","unicycler","ATCC_17802"
7481.0577,"2:04:41",5483.36,7845.3,5464.82,5468.05,601.02,157993.75,636.95,49360.77,"8","unicycler","ATCC_17802"
414.0457,"0:06:54",3582.05,9068.96,3473.68,3491.16,491.81,3586.67,519.78,2565.49,"16","dragonflye_hybrid","ATCC_25922"
607.8744,"0:10:07",3336.44,8495.17,3226.62,3244.58,0,3130.93,353.56,2652.99,"8","dragonflye_hybrid","ATCC_25922"
390.2993,"0:06:30",4117.17,9004.95,4008.77,4026.45,496.32,2301.51,579.78,2498.87,"16","dragonflye_long","ATCC_25922"
568.9932,"0:09:28",3965.11,8495.18,3856.19,3874.22,0,2296.05,363.05,2347.15,"8","dragonflye_long","ATCC_25922"
1369.0154,"0:22:49",4070.77,25974.35,3944.89,3968.22,0.04,36470.96,147.73,3269.27,"16","hybracter_hybrid","ATCC_25922"
1979.441,"0:32:59",4285.54,27045.11,4144.59,4171.35,0.07,36538.36,173.91,6071.46,"8","hybracter_hybrid","ATCC_25922"
763.3748,"0:12:43",4339.48,26068.39,4213.63,4237.06,5.07,6128.34,301.32,2584.55,"16","hybracter_long","ATCC_25922"
1156.9189,"0:19:16",4224.34,27551.41,4086.25,4113.02,3.44,6323.3,348.63,4914.54,"8","hybracter_long","ATCC_25922"
5438.3058,"1:30:38",9183.27,14063.83,9163.93,9169.05,498.32,182906.45,1210.75,68993.79,"16","unicycler","ATCC_25922"
10096.3899,"2:48:16",4891.76,8169.84,4875.46,4878.68,0,186074.89,676.44,69511.75,"8","unicycler","ATCC_25922"
212.6344,"0:03:32",1499.31,8935.35,1453.34,1467.3,166.38,803.76,122.51,553.86,"16","dragonflye_hybrid","ATCC_33560"
242.0951,"0:04:02",1448.21,8425.59,1400.66,1415.26,0,799.99,37.27,444.13,"8","dragonflye_hybrid","ATCC_33560"
201.9944,"0:03:21",1499.88,8999.36,1453.7,1467.69,0,803.76,130.56,561.15,"16","dragonflye_long","ATCC_33560"
231.9737,"0:03:51",1589.07,8425.59,1567.93,1569.17,0,800,43.52,453.61,"8","dragonflye_long","ATCC_33560"
